1,RABB,2,expired,AYOUNG,2021-11-15 0:00:00,2021-12-01 0:00:00,2021-11-15 0:00:00,AYOUNG,eating,
2,LAMB,1,expired,AYOUNG,2021-12-01 0:00:00,2021-12-15 0:00:00,2021-12-20 0:00:00,AYOUNG,eating,
3,GROU,2,expired,AYOUNG,2021-12-15 0:00:00,2021-12-31 0:00:00,2021-12-20 0:00:00,AYOUNG,eating,
4,BEEF,4,finished,AYOUNG,2021-12-15 0:00:00,2021-12-31 0:00:00,2022-01-15 0:00:00,KSMITH,cleaning,
5,EGG,2,finished,KSMITH,2022-01-01 0:00:00,2022-02-20 0:00:00,2022-01-28 0:00:00,KSMITH,eating,
6,BLAC,2,added,AYOUNG,2022-01-21 0:00:00,2022-02-01 0:00:00,2022-01-23 0:00:00,AYOUNG,eating,
7,BLUE,2,added,AYOUNG,2022-01-21 0:00:00,2022-02-01 0:00:00,2022-01-24 0:00:00,KSMITH,eating,
8,CRAN,2,added,AYOUNG,2022-01-21 0:00:00,2022-02-01 0:00:00,2022-01-25 0:00:00,SJOSEPH,eating,
9,AVOC,5,added,SJOSEPH,2022-01-24 0:00:00,2022-02-24 0:00:00,2022-01-24 0:00:00,SJOSEPH,shopping,TOSTADAS_N_SLAW
10,CHED,1,added,SJOSEPH,2022-01-24 0:00:00,2022-02-24 0:00:00,2022-01-24 0:00:00,SJOSEPH,shopping,TOSTADAS_N_SLAW
11,ROAS,3,added,SJOSEPH,2022-01-24 0:00:00,2022-02-15 0:00:00,2022-01-24 0:00:00,SJOSEPH,shopping,TOSTADAS_N_SLAW
12,CILAN,4,added,SJOSEPH,2022-01-24 0:00:00,2022-02-15 0:00:00,2022-01-24 0:00:00,SJOSEPH,shopping,TOSTADAS_N_SLAW
13,WHWRAP,6,added,SJOSEPH,2022-01-24 0:00:00,2022-03-01 0:00:00,2022-01-30 0:00:00,AYOUNG,eating,TOSTADAS_N_SLAW
14,GARL,4,added,SJOSEPH,2022-01-24 0:00:00,2022-03-01 0:00:00,2022-01-24 0:00:00,SJOSEPH,shopping,TOSTADAS_N_SLAW
15,LMJUC,1,added,SJOSEPH,2022-01-24 0:00:00,2022-12-01 0:00:00,2022-01-24 0:00:00,SJOSEPH,shopping,TOSTADAS_N_SLAW
16,OOIL,1,added,SJOSEPH,2022-01-24 0:00:00,2023-01-01 0:00:00,2022-01-24 0:00:00,SJOSEPH,shopping,TOSTADAS_N_SLAW
17,ONIO,5,added,SJOSEPH,2022-01-24 0:00:00,2022-04-01 0:00:00,2022-01-24 0:00:00,SJOSEPH,shopping,TOSTADAS_N_SLAW
18,OJ,1,added,SJOSEPH,2022-01-24 0:00:00,2022-02-22 0:00:00,2022-01-24 0:00:00,SJOSEPH,shopping,TOSTADAS_N_SLAW
19,OREG,1,added,SJOSEPH,2022-01-24 0:00:00,2024-01-01 0:00:00,2022-01-24 0:00:00,SJOSEPH,shopping,TOSTADAS_N_SLAW
20,BPEPP,4,added,SJOSEPH,2022-01-24 0:00:00,2022-01-31 0:00:00,2022-01-24 0:00:00,SJOSEPH,shopping,TOSTADAS_N_SLAW
21,RADSH,1,added,SJOSEPH,2022-01-24 0:00:00,2022-01-31 0:00:00,2022-01-24 0:00:00,SJOSEPH,shopping,TOSTADAS_N_SLAW
22,SALT,1,added,SJOSEPH,2022-01-24 0:00:00,2027-01-01 0:00:00,2022-01-24 0:00:00,SJOSEPH,shopping,TOSTADAS_N_SLAW
23,VEAL,1,opened,AYOUNG,2022-01-24 0:00:00,2022-02-01 0:00:00,2022-01-28 0:00:00,AYOUNG,eating,
24,VENI,1,opened,AYOUNG,2022-01-24 0:00:00,2022-02-01 0:00:00,2022-01-27 0:00:00,AYOUNG,eating,
25,PORK,1,opened,AYOUNG,2022-01-24 0:00:00,2022-02-01 0:00:00,2022-01-24 0:00:00,AYOUNG,eating,
26,ROAS,1,opened,AYOUNG,2022-01-24 0:00:00,2022-02-01 0:00:00,2022-01-28 0:00:00,AYOUNG,eating,
27,CHIC,6,opened,KSMITH,2022-01-25 0:00:00,2022-02-01 0:00:00,2022-01-28 0:00:00,KSMITH,eating,THAI_CHKN_WRAP
28,CARR,1,opened,KSMITH,2022-01-25 0:00:00,2022-03-01 0:00:00,2022-01-28 0:00:00,KSMITH,eating,THAI_CHKN_WRAP
29,SOY,1,opened,KSMITH,2022-01-25 0:00:00,2023-04-01 0:00:00,2022-01-28 0:00:00,KSMITH,eating,THAI_CHKN_WRAP
30,VEGOIL,1,opened,KSMITH,2022-01-25 0:00:00,2023-04-01 0:00:00,2022-01-28 0:00:00,KSMITH,eating,THAI_CHKN_WRAP
31,SEAS,1,opened,KSMITH,2022-01-25 0:00:00,2027-01-01 0:00:00,2022-01-28 0:00:00,KSMITH,eating,THAI_CHKN_WRAP
32,CUCU,4,opened,KSMITH,2022-01-25 0:00:00,2022-03-01 0:00:00,2022-01-28 0:00:00,KSMITH,eating,THAI_CHKN_WRAP
33,BNSPRT,1,opened,KSMITH,2022-01-25 0:00:00,2022-02-12 0:00:00,2022-01-28 0:00:00,KSMITH,eating,THAI_CHKN_WRAP
34,SCALL,1,opened,KSMITH,2022-01-25 0:00:00,2022-03-01 0:00:00,2022-01-28 0:00:00,KSMITH,eating,THAI_CHKN_WRAP
35,BASI,1,opened,KSMITH,2022-01-25 0:00:00,2022-03-01 0:00:00,2022-01-28 0:00:00,KSMITH,eating,THAI_CHKN_WRAP
36,MINT,1,opened,KSMITH,2022-01-25 0:00:00,2022-03-01 0:00:00,2022-01-28 0:00:00,KSMITH,eating,THAI_CHKN_WRAP
37,SESAM,1,opened,KSMITH,2022-01-25 0:00:00,2027-01-01 0:00:00,2022-01-28 0:00:00,KSMITH,eating,THAI_CHKN_WRAP
38,SUGAR,1,opened,KSMITH,2022-01-25 0:00:00,2027-01-01 0:00:00,2022-01-28 0:00:00,KSMITH,eating,THAI_CHKN_WRAP
39,VINEG,1,opened,KSMITH,2022-01-25 0:00:00,2027-01-01 0:00:00,2022-01-28 0:00:00,KSMITH,eating,THAI_CHKN_WRAP
40,SALT,1,opened,KSMITH,2022-01-25 0:00:00,2027-01-01 0:00:00,2022-01-28 0:00:00,KSMITH,eating,THAI_CHKN_WRAP
41,PB,1,opened,KSMITH,2022-01-25 0:00:00,2024-01-01 0:00:00,2022-01-28 0:00:00,KSMITH,eating,THAI_CHKN_WRAP
42,CAYPEP,1,opened,KSMITH,2022-01-25 0:00:00,2027-01-01 0:00:00,2022-01-28 0:00:00,KSMITH,eating,THAI_CHKN_WRAP
43,WHWRAP,8,opened,KSMITH,2022-01-25 0:00:00,2022-05-01 0:00:00,2022-01-28 0:00:00,KSMITH,eating,THAI_CHKN_WRAP
44,ACHIOT,1,added,SJOSEPH,2022-01-25 0:00:00,2022-12-01 0:00:00,2022-01-25 0:00:00,SJOSEPH,shopping,TOSTADAS_N_SLAW