THAI_CHKN_WRAP,Thai Chicken Wrap with Spicy Peanut Sauce,0.5,4,https://www.foodnetwork.com/recipes/rachael-ray/thai-chicken-wrap-with-spicy-peanut-sauce-recipe-1941793
MAC_N_CHEESE,Thanksgiving Mac and Cheese,0.75,8,https://www.epicurious.com/recipes/food/views/thanksgiving-mac-and-cheese-erick-williams
SAUSAGE_STUFFING,Italian Sausage and Bread Stuffing,2.25,8,
SHALLOT_YOGURT,Shallot Yogurt,0.25,4,https://www.epicurious.com/recipes/food/views/caramelized-shallot-yogurt
TOSTADAS_N_SLAW,Chicken Tostadas with Radish Slaw,1.5,6,
HERB_POTATOES,Mustard Aioli-Grilled Potatoes with Fines Herbes,1.5,6,
PANELLE,Chickpea Fritters or Panelle,4,10,
SOUR_EGGPLANT,Sweet-and-Sour Eggplant,1.25,10,
CHKN_CILANTRO,Chicken and Cilantro Bites,0.75,4,https://www.epicurious.com/recipes/food/views/chicken-and-cilantro-bites-231978
ROASTED_PEPPERS,Roasted Red Bell Peppers,1.25,10,
GOAT_CHEESE_THYME,Goat Cheese Toasts with Walnuts Honey and Thyme,0.5,4,https://www.epicurious.com/recipes/food/views/goat-cheese-toasts-with-walnuts-honey-thyme-51166200